EFAEC_00283	320	274	261	414	407	442
EFAEC_00284	358	358	351	158	182	186
EFAEC_00285	13	6	4	17	21	17
EFAEC_00286	2	3	1	9	13	16
EFAEC_00287	0	0	0	3	5	1
EFAEC_00288	3	1	4	2	1	0
EFAEC_00289	2	2	0	1	3	0
EFAEC_00290	3	4	3	2	2	2
EFAEC_00291	2	3	4	2	3	1
EFAEC_00292	1	4	2	1	1	1
EFAEC_00293	5	0	1	1	0	0
EFAEC_00294	6	2	3	2	5	2
EFAEC_00295	21	19	15	16	15	13
EFAEC_00296	18	19	21	7	7	12
EFAEC_00297	243	273	310	274	365	306
EFAEC_00298	15630	19248	18432	8282	12115	10338
EFAEC_00299	23	19	24	10	30	22
EFAEC_00300	173	187	169	268	319	303
EFAEC_00301	302	282	276	307	366	376
EFAEC_00302	160	191	197	215	260	224
EFAEC_00303	198	154	174	286	255	257
EFAEC_00305	70	86	85	2245	2320	2236
EFAEC_00306	102	100	79	1621	1744	1704
EFAEC_00307	52	52	44	6790	7261	7102
EFAEC_00308	43	41	35	4386	4576	4470
EFAEC_00309	9	4	6	428	474	401
EFAEC_00310	65	57	57	6799	6717	6306
EFAEC_00311	170	147	99	19692	17884	18051
EFAEC_00312	526	424	450	4733	4543	4413
EFAEC_00313	48	33	31	518	582	549
EFAEC_00314	1717	1585	1407	27551	26832	25418
EFAEC_00315	242	278	266	2650	2824	2772
EFAEC_00316	145	206	167	21	22	24
EFAEC_00317	61	69	64	14	31	27
EFAEC_00318	151	132	133	89	81	76
EFAEC_00319	35	25	34	33	52	27
EFAEC_00320	1759	1598	1482	13051	12680	12351
EFAEC_00321	668	535	403	5016	4684	4792
EFAEC_00322	1276	1522	1321	10218	11587	10266
EFAEC_00323	161	146	168	1201	1193	1166
EFAEC_00324	0	1	0	0	0	0
EFAEC_00325	80	55	78	98	117	96
EFAEC_00326	100	111	118	162	213	178
EFAEC_00327	65	78	65	12	28	27
EFAEC_00328	48	55	44	30	29	18
EFAEC_00329	5691	5665	4770	542	616	580
EFAEC_00330	376	393	322	92	103	89
EFAEC_00331	706	604	493	129	123	107
EFAEC_00332	3877	4148	3518	1022	1097	1064
EFAEC_00333	237	277	306	47	67	60
EFAEC_00334	1056	967	889	723	869	811
EFAEC_00335	200	207	194	212	237	233
EFAEC_00336	67291	65620	59143	86587	98763	87906
EFAEC_00337	852	941	856	725	905	848
EFAEC_00338	579	634	595	807	964	886
EFAEC_00339	330	318	291	120	110	124
EFAEC_00340	19324	21847	18078	687	801	689
EFAEC_00341	5927	6761	5777	135	196	195
EFAEC_00342	191	238	190	122	144	174
EFAEC_00343	167	211	190	47	42	48
EFAEC_00344	228	235	188	55	52	61
EFAEC_00345	401	406	362	96	99	71
EFAEC_00346	302	323	306	144	187	169
EFAEC_00347	992	890	824	155	175	149
EFAEC_00348	1136	1201	1024	658	773	697
EFAEC_00349	106	137	95	255	267	237
EFAEC_00350	70	78	60	87	95	79
EFAEC_00351	191	203	199	521	727	629
EFAEC_00352	24	17	18	66	73	93
EFAEC_00353	91	73	64	903	952	1234
EFAEC_00354	84	74	75	95	114	124
EFAEC_00355	24	33	33	21	15	19
EFAEC_00356	39	42	36	8	14	11
EFAEC_00357	7250	7921	7226	1178	1357	1328
EFAEC_00358	2976	2869	2682	2259	2459	2273
EFAEC_00359	6675	6629	5654	5385	6297	5859
EFAEC_00360	2284	2087	1987	4182	4492	3557
EFAEC_00361	777	751	661	1679	2011	1497
EFAEC_00362	441	351	278	961	1196	995
EFAEC_00363	288	330	312	129	178	150
EFAEC_00364	999	961	891	813	896	841
EFAEC_00365	823	843	800	699	761	711
EFAEC_00366	967	983	897	43	57	47
EFAEC_00367	3586	3796	3575	349	423	368
EFAEC_00368	5791	5900	5568	481	626	545
EFAEC_00369	2036	1994	2151	232	309	262
EFAEC_00370	2053	2215	2001	1857	2111	2033
EFAEC_00371	3205	3376	3279	3613	3969	3475
EFAEC_00372	629	725	625	172	200	212
EFAEC_00373	968	993	814	236	283	300
EFAEC_00374	1129	1057	1051	371	428	350
EFAEC_00375	3063	3882	3358	410	479	454
EFAEC_00376	443	384	411	38	43	45
EFAEC_00377	7057	6905	6878	1001	1200	1051
EFAEC_00378	4381	4573	4035	564	650	535
EFAEC_00379	1749	1989	1494	939	1046	1002
EFAEC_00380	5060	5363	4890	4782	5333	4831
EFAEC_00381	2281	2314	2029	4447	4978	4615
EFAEC_00382	881	811	741	2973	3703	3226
EFAEC_00383	1343	1253	1097	3645	4147	4082
EFAEC_00384	2274	2514	2093	3821	4873	4306
EFAEC_00385	1594	1469	1396	4086	4618	4305
EFAEC_00386	368	378	321	1228	1500	1347
EFAEC_00387	524	532	438	21357	21993	20892
EFAEC_00388	346	356	322	557	597	543
